lat_coords,lng_coords,city,country,Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
-32.25829404981919,32.34656840803663,margate,za,67.65,95,80,16.49,-30.86,30.37
48.016475073017546,90.44663788089247,mugur-aksy,ru,-29.42,37,0,2.06,50.38,90.44
21.795333256582055,24.0864671029083,faya,td,,,,,,
23.717632320853696,139.03180658402442,shingu,jp,53.6,71,75,3.36,33.72,135.99
28.892464571734948,8.388718352429578,nalut,ly,36.51,81,0,4.52,31.86,10.98
35.87232818408705,-76.22049398361295,elizabeth city,us,52.16,86,90,16.11,36.3,-76.22
5.466373752645168,143.35823162765195,vanimo,pg,78.59,100,88,6.08,-2.67,141.3
-17.07045715996746,39.35917637501046,angoche,mz,78.32,100,76,16.26,-16.23,39.91
32.59886491385409,-81.53922318013454,statesboro,us,67.6,61,1,9.17,32.45,-81.78
52.247614598843455,3.5951428805186367,goedereede,nl,32.72,69,0,16.11,51.82,3.98
-42.39209170287422,-70.10918296105704,san carlos de bariloche,ar,80.6,22,0,19.46,-41.13,-71.31
23.69246099967046,-95.32901770319145,nuevo progreso,mx,75.35,78,32,16.6,17.14,-95.05
24.902047653193804,-103.05637092659543,venustiano carranza,mx,68.77,28,90,5.82,19.42,-99.11
67.84597614012111,138.88349476313715,deputatskiy,ru,-63.57,0,0,2.51,69.3,139.9
-5.028894959879025,139.5628084360448,kiunga,pg,81.51,81,20,2.51,-6.12,141.3
-27.95648147637076,152.55499950042565,gatton,au,82.08,51,75,10.29,-27.56,152.28
5.59531930024373,-102.9038523828957,acapulco,mx,82.4,74,90,4.7,16.86,-99.88
48.87465207479113,11.530588940800044,ingolstadt,de,17.67,92,0,2.24,48.76,11.43
16.68330926489179,-9.9293278868943,nioro,ml,,,,,,
3.467438937292968,-84.78985792954704,burica,pa,,,,,,
37.34029348101768,20.234573859855942,mouzakion,gr,,,,,,
37.36728040185855,-71.56152886428951,brigantine,us,39.54,85,90,10.29,39.41,-74.36
38.24445299501531,-12.641332660743672,colares,pt,56.34,93,75,11.41,38.8,-9.45
38.738284136778816,116.44866985311944,renqiu,cn,20.67,40,0,7.65,38.71,116.1
2.023651522254667,-14.507889797321496,monrovia,lr,77,94,20,4.18,6.33,-10.8
